Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,6,1,27.8,4.2,8.7,0.481,0.8,2.7,0.313,3.3,6,0.556,0.529,1,1.7,0.6,1.3,3.5,4.8,1,0.2,0.8,1.5,2.3,10.2
2,Steven Adams,C,28,MEM,3,2,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1.7,1.3,0,0,0.3,2.3,0
3,Bam Adebayo,C,24,MIA,5,5,31.4,4.4,8.4,0.524,0,0,0,4.4,8.4,0.524,0.524,3.6,4.4,0.818,1.8,6.2,8,3.6,1,0.6,3,3.2,12.4
4,Nickeil Alexander-Walker,SG,23,UTA,1,0,5,2,2,1,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,0,0,0,5
5,Grayson Allen,SG,26,MIL,5,0,24,4.8,8,0.6,2.8,4.8,0.583,2,3.2,0.625,0.775,0.6,0.8,0.75,0.2,3.2,3.4,0.4,1,0.4,0.6,1.4,13
6,Jose Alvarado,PG,23,NOP,6,0,19.5,2.7,5.5,0.485,1,2.7,0.375,1.7,2.8,0.588,0.576,1.7,2.2,0.769,0.3,1,1.3,1.5,1.2,0.2,1.2,3,8
7,Kyle Anderson,PF,28,MEM,6,1,19.5,2,3.3,0.6,0,0.3,0,2,3,0.667,0.6,1,1.2,0.857,1,3.5,4.5,1.3,1,0.5,0.5,1.8,5
8,Giannis Antetokounmpo,PF,27,MIL,5,5,33.6,10,17.6,0.568,0.4,2.6,0.154,9.6,15,0.64,0.58,8.2,12,0.683,2,11.4,13.4,6.2,0.2,1.4,3.6,3.2,28.6
9,Thanasis Antetokounmpo,SF,29,MIL,3,0,4.3,0.7,1,0.667,0,0,0,0.7,1,0.667,0.667,0,0.3,0,0,0.7,0.7,0.3,0.3,0,0,1,1.3
10,OG Anunoby,SF,24,TOR,6,6,36.2,6.5,13.7,0.476,2.3,6.8,0.341,4.2,6.8,0.61,0.561,2,2.7,0.75,1.2,2.8,4,2.5,1,0.2,1.7,3,17.3
11,Deandre Ayton,C,23,PHO,6,6,35,9.3,13.3,0.7,0.3,0.7,0.5,9,12.7,0.711,0.713,1.5,2,0.75,2.2,7.7,9.8,2.5,0.7,1.2,1.2,3.2,20.5
12,Desmond Bane,SF,23,MEM,6,6,38,8,16,0.5,4.5,9.2,0.491,3.5,6.8,0.512,0.641,3,3.3,0.9,0.2,4,4.2,2.2,0.8,1.2,1.8,2,23.5
13,Dalano Banton,SF,22,TOR,4,0,2,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0.8,1.5,0.5,0.5,0,0.5,0.3,0.3,0,0.3,0,1.8
14,Scottie Barnes,PF,20,TOR,4,3,33.3,4.5,10.5,0.429,0.5,3,0.167,4,7.5,0.533,0.452,3.3,4,0.813,1.8,7.3,9,4.3,1,0.3,1.3,3,12.8
15,Will Barton,SG,31,DEN,5,5,34.4,5.4,13.2,0.409,2.2,5.6,0.393,3.2,7.6,0.421,0.492,0.8,1.2,0.667,1,4.6,5.6,2.8,0.8,0.2,2,2.2,13.8
16,Malik Beasley,SG,25,MIN,6,0,19.8,3.2,7.3,0.432,1.3,4.2,0.32,1.8,3.2,0.579,0.523,0.8,1,0.833,0.3,3,3.3,0.7,0.3,0.2,1.2,1.5,8.5
17,D?vis Bert?ns,PF,29,DAL,6,0,9.5,0.8,2.3,0.357,0.8,2.3,0.357,0,0,0,0.536,0.8,1,0.833,0.3,1,1.3,0.2,0.3,0.2,0.3,2.2,3.3
18,Patrick Beverley,PG,33,MIN,6,6,32.3,3.5,8.2,0.429,1.5,4.3,0.346,2,3.8,0.522,0.52,2.5,3.7,0.682,0.7,2.5,3.2,4.8,1.2,1.2,2,4.7,11
19,Khem Birch,C,29,TOR,6,4,10.5,1.3,2.7,0.5,0.3,0.7,0.5,1,2,0.5,0.563,0,0,0,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3
20,Bismack Biyombo,C,29,PHO,4,0,3.8,0.3,0.8,0.333,0,0,0,0.3,0.8,0.333,0.333,0,0,0,0.5,0.5,1,0.5,0,0,1.3,1.5,0.5
21,Nemanja Bjelica,C,33,GSW,4,0,12,2,3.8,0.533,0,0.8,0,2,3,0.667,0.533,1,1.8,0.571,0.3,1.5,1.8,1.3,0.5,0.5,0.5,1.8,5
22,Bogdan Bogdanovi?,SG,29,ATL,4,0,26.8,5,12.3,0.408,2.3,6.5,0.346,2.8,5.8,0.478,0.5,2,2.5,0.8,1,3.8,4.8,3,0.3,0.3,1,3,14.3
23,Bojan Bogdanovi?,PF,32,UTA,6,6,35.7,6.5,13.5,0.481,1.8,5.5,0.333,4.7,8,0.583,0.549,3.2,4,0.792,0.5,3.7,4.2,1.7,0.3,0,2,4,18
24,Isaac Bonga,SF,22,TOR,1,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,1,2
25,Devin Booker,SG,25,PHO,3,3,32.7,8.3,16.7,0.5,4,8.3,0.48,4.3,8.3,0.52,0.62,2.3,2.7,0.875,0.3,3.3,3.7,4,0.3,0,1.7,1.7,23
26,Chris Boucher,PF,29,TOR,6,0,21.7,4.3,7,0.619,1,2.5,0.4,3.3,4.5,0.741,0.69,1.5,1.7,0.9,2,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2
27,Tony Bradley,C,24,CHI,2,0,4,2.5,2.5,1,0,0,0,2.5,2.5,1,1,0,0,0,0,2,2,0.5,0,0,0,0,5
28,Mikal Bridges,SF,25,PHO,6,6,41.8,6.3,11.5,0.551,1.3,2.5,0.533,5,9,0.556,0.609,3.3,3.7,0.909,0.5,4,4.5,2.7,0.8,1.5,1.3,2.5,17.3
29,Armoni Brooks,PG,23,TOR,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
30,Dillon Brooks,SF,26,MEM,6,6,33.3,6,16,0.375,2.2,5.8,0.371,3.8,10.2,0.377,0.443,2.3,3.5,0.667,0.8,1.7,2.5,2.3,0.8,0.2,2.7,3.7,16.5
31,Bruce Brown,SF,25,BRK,4,4,34.8,5.3,9.3,0.568,1.5,3.5,0.429,3.8,5.8,0.652,0.649,2,2.5,0.8,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4,14
32,Jaylen Brown,SF,25,BOS,4,4,38.8,9,18.3,0.493,1,4.8,0.211,8,13.5,0.593,0.521,3.5,4.5,0.778,0.5,4.8,5.3,4.3,2.5,0.5,2.5,2,22.5
33,Sterling Brown,SG,26,DAL,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2
34,Troy Brown Jr.,SF,22,CHI,3,0,12.3,1.7,5.7,0.294,0.7,3.7,0.182,1,2,0.5,0.353,0,0,0,0.3,2.3,2.7,1,0.7,0,1,0.7,4
35,Jalen Brunson,PG,25,DAL,6,6,38,10.2,21,0.484,2,5.5,0.364,8.2,15.5,0.527,0.532,5.5,6.5,0.846,0.8,4,4.8,4.2,0.8,0,0.7,1.7,27.8
36,Reggie Bullock,SF,30,DAL,6,6,42.3,3.5,7.8,0.447,2.8,7,0.405,0.7,0.8,0.8,0.628,0.8,0.8,1,0.3,5.7,6,2.2,1.5,0.2,0.3,2.7,10.7
37,Trey Burke,PG,29,DAL,3,0,4.3,1,2.7,0.375,0.3,1,0.333,0.7,1.7,0.4,0.438,1,1,1,0,0.7,0.7,0,0,0,0,0.7,3.3
38,Jared Butler,SG,21,UTA,1,0,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
39,Jimmy Butler,SF,32,MIA,4,4,37.3,11,20.3,0.543,1.8,4,0.438,9.3,16.3,0.569,0.586,6.8,8.5,0.794,2,5.8,7.8,5.3,2.8,0.5,1.3,0.8,30.5
40,Facundo Campazzo,PG,30,DEN,4,0,3.3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.8,0.8,0.5,0,0,0.5,0.8,0
41,Vlatko ?an?ar,PF,24,DEN,2,0,4.5,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0.833,0,0,0,0,1,1,0.5,0,0,1,0,2.5
42,Clint Capela,C,27,ATL,2,2,20,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,2,5.5,7.5,0,0.5,0.5,0.5,1,2
43,Jevon Carter,PG,26,MIL,5,0,15.8,1,2.4,0.417,0.4,1,0.4,0.6,1.4,0.429,0.5,0,0,0,0.6,1.8,2.4,1.8,1.2,0,0.4,1.8,2.4
44,Alex Caruso,SG,27,CHI,4,4,28.3,2.3,5.8,0.391,1.8,4.5,0.389,0.5,1.3,0.4,0.543,0,0,0,0.5,2.3,2.8,4.3,1.3,1,0.3,2.8,6.3
45,Marquese Chriss,PF,24,DAL,1,0,4,1,2,0.5,0,0,0,1,2,0.5,0.5,0,0,0,1,1,2,0,0,0,0,0,2
46,Brandon Clarke,PF,25,MEM,6,0,29.5,6.3,9.3,0.679,0,0.2,0,6.3,9.2,0.691,0.679,3.8,5.8,0.657,3.8,5.2,9,2.7,0.8,1,0.7,1.8,16.5
47,Jordan Clarkson,SG,29,UTA,6,0,28.3,6.7,12.2,0.548,1.5,4,0.375,5.2,8.2,0.633,0.61,2.7,3,0.889,0.8,2.3,3.2,1.3,0.5,0.2,1.7,2.8,17.5
48,Nic Claxton,C,22,BRK,4,0,24.5,4.8,6,0.792,0,0,0,4.8,6,0.792,0.792,1,5.5,0.182,1.8,4.5,6.3,1.5,1.3,2.3,0.5,1.5,10.5
49,John Collins,PF,24,ATL,5,4,24.4,3.8,7.8,0.487,0.8,2.2,0.364,3,5.6,0.536,0.538,1,2,0.5,0.4,4.2,4.6,1.2,0.4,0.2,1,2.4,9.4
50,Mike Conley,PG,34,UTA,6,6,29,3.2,9.5,0.333,0.8,4.2,0.2,2.3,5.3,0.438,0.377,2,2.5,0.8,0.3,2.8,3.2,4.8,0.8,0.3,2.2,3.2,9.2
51,Pat Connaughton,SG,29,MIL,5,0,22.6,2.8,7.2,0.389,2.2,6.2,0.355,0.6,1,0.6,0.542,0.6,0.6,1,0.2,3.6,3.8,1,0.4,0.4,0.6,0.4,8.4
52,DeMarcus Cousins,C,31,DEN,5,0,11.4,3.8,5.8,0.655,0.8,1.2,0.667,3,4.6,0.652,0.724,2.2,3,0.733,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6
53,Torrey Craig,SF,31,PHO,4,0,9.8,0.5,2.3,0.222,0.3,1,0.25,0.3,1.3,0.2,0.278,0.3,0.5,0.5,0.8,0.5,1.3,1,0.8,0.3,0.3,0.8,1.5
54,Jae Crowder,PF,31,PHO,6,6,28.7,2.7,8,0.333,0.5,4.3,0.115,2.2,3.7,0.591,0.365,1.7,2.5,0.667,0.5,3.2,3.7,2.5,1.3,0.7,1,4.2,7.5
55,Jarrett Culver,SG,22,MEM,1,0,5,1,2,0.5,0,0,0,1,2,0.5,0.5,0,0,0,1,2,3,1,2,0,0,0,2
56,Seth Curry,SG,31,BRK,4,4,33,5.5,9.8,0.564,3,5.8,0.522,2.5,4,0.625,0.718,0.5,0.8,0.667,0.5,2,2.5,3,0.3,0.8,0.8,3.8,14.5
57,Stephen Curry,PG,33,GSW,5,1,30,9.2,18.4,0.5,3.8,9.4,0.404,5.4,9,0.6,0.603,5.8,7.8,0.744,0.6,2.8,3.4,5.4,1.6,0.4,2.8,2,28
58,Dewayne Dedmon,C,32,MIA,5,0,9.4,1.8,3.2,0.563,0,0.6,0,1.8,2.6,0.692,0.563,0.6,0.8,0.75,1.6,2,3.6,0.6,0.2,0.2,0.6,2.6,4.2
59,DeMar DeRozan,PF,32,CHI,5,5,40.6,7.8,19,0.411,0,1.8,0,7.8,17.2,0.453,0.411,5.2,6,0.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8
60,Gorgui Dieng,C,32,ATL,2,0,5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,1,0.5,1,1.5,0,0,0,0,0,1.5
61,Spencer Dinwiddie,PG,28,DAL,6,3,33.3,5,13.8,0.361,1.7,5.7,0.294,3.3,8.2,0.408,0.422,3.7,5,0.733,1,2.3,3.3,4.3,1.2,0.2,2.2,4,15.3
62,Luka Don?i?,PG,22,DAL,3,3,36.3,10,21.3,0.469,3.7,10,0.367,6.3,11.3,0.559,0.555,5.3,6.7,0.8,0,10.7,10.7,5.7,1.3,1,4,3.3,29
63,Ayo Dosunmu,SG,22,CHI,5,1,17.2,1.6,5.2,0.308,0.6,2.6,0.231,1,2.6,0.385,0.365,0.2,0.2,1,0.8,1.8,2.6,2.2,0.2,0,0.6,1,4
64,Goran Dragi?,PG,35,BRK,4,0,19.8,4.5,8,0.563,1,3,0.333,3.5,5,0.7,0.625,0.5,0.5,1,1.5,3,4.5,1.5,0.8,0,1.3,2.8,10.5
65,Andre Drummond,C,28,BRK,4,4,15,1.5,2.8,0.545,0,0,0,1.5,2.8,0.545,0.545,0.8,1.3,0.6,0.8,2.3,3,0.8,1.3,0.8,1.5,3,3.8
66,Kevin Durant,PF,33,BRK,4,4,44,8,20.8,0.386,1.8,5.3,0.333,6.3,15.5,0.403,0.428,8.5,9.5,0.895,0.5,5.3,5.8,6.3,1,0.3,5.3,3.8,26.3
67,Anthony Edwards,SG,20,MIN,6,6,37.8,8.3,18.3,0.455,3.8,9.5,0.404,4.5,8.8,0.509,0.559,4.7,5.7,0.824,0.7,3.5,4.2,3,1.2,1.2,2.5,3.7,25.2
68,Kessler Edwards,SF,21,BRK,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1.5,0
69,Joel Embiid,C,27,PHI,6,6,39,8.7,16.7,0.52,0.7,3.5,0.19,8,13.2,0.608,0.54,8.2,9.8,0.831,2.2,9.2,11.3,2.3,0.3,0.8,3.3,3.7,26.2
70,Dorian Finney-Smith,PF,28,DAL,6,6,43.3,4.7,10.2,0.459,2.8,7.2,0.395,1.8,3,0.611,0.598,1,1,1,1.3,5,6.3,2.8,1.2,0.7,0.7,3.2,13.2
71,Malachi Flynn,PG,23,TOR,6,0,6,0,1.2,0,0,0.5,0,0,0.7,0,0,0,0,0,0.3,0.2,0.5,0.5,0.2,0,0.2,1,0
72,Bryn Forbes,SG,28,DEN,5,0,15.2,1.2,3,0.4,0.8,2.2,0.364,0.4,0.8,0.5,0.533,0.8,1,0.8,0.2,0.4,0.6,1.4,0.2,0,0.4,1.4,4
73,Danilo Gallinari,PF,33,ATL,5,3,22.4,3.6,9,0.4,0.8,3,0.267,2.8,6,0.467,0.444,2.2,2.2,1,0.4,3.8,4.2,0.8,0.2,0,1,1.2,10.2
74,Rudy Gobert,C,29,UTA,6,6,32.8,3.5,5.5,0.636,0,0,0,3.5,5.5,0.636,0.636,5,7.3,0.682,3.5,9.7,13.2,0.5,0.2,1,1.3,3.2,12
75,Aaron Gordon,PF,26,DEN,5,5,32,4.6,10.8,0.426,0.6,3,0.2,4,7.8,0.513,0.454,4,5.6,0.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8
76,Devonte' Graham,PG,26,NOP,6,0,10,1,3,0.333,0.8,2.3,0.357,0.2,0.7,0.25,0.472,1.2,1.3,0.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4
77,Danny Green,SF,34,PHI,6,6,31.3,3.2,8.8,0.358,2.7,7.3,0.364,0.5,1.5,0.333,0.509,0,0,0,1.2,2.7,3.8,1.2,1,0.3,0.8,1.7,9
78,Draymond Green,PF,31,GSW,5,5,32.8,3.6,6.8,0.529,0.8,2.2,0.364,2.8,4.6,0.609,0.588,1.6,2.4,0.667,0.2,5.2,5.4,7.4,1.4,1.6,1.6,4,9.6
79,JaMychal Green,PF,31,DEN,5,0,13.8,1.2,3.2,0.375,0.2,1,0.2,1,2.2,0.455,0.406,1.4,1.4,1,0.6,1.8,2.4,0.4,0,0.2,0.4,2.4,4
80,Javonte Green,SF,28,CHI,5,1,14.4,0.6,3.4,0.176,0,1.2,0,0.6,2.2,0.273,0.176,0.2,0.4,0.5,1.6,1.4,3,0.4,1.8,0,0.8,1.6,1.4
81,Jeff Green,C,35,DEN,5,5,22.6,1.2,3.4,0.353,0.6,1.6,0.375,0.6,1.8,0.333,0.441,0.8,1,0.8,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8
82,Josh Green,SG,21,DAL,6,0,11.3,1,3.8,0.261,0.7,3.2,0.211,0.3,0.7,0.5,0.348,0.3,1,0.333,0.2,0.8,1,1.2,0.7,0,0,1.8,3
83,Blake Griffin,PF,32,BRK,2,0,12.5,1,3.5,0.286,1,2.5,0.4,0,1,0,0.429,1,1,1,1,1,2,2,0.5,0.5,0.5,1.5,4
84,James Harden,SG,32,PHI,6,6,40.5,5.3,13.2,0.405,2.2,5.7,0.382,3.2,7.5,0.422,0.487,6.2,7.2,0.86,1,4,5,10.2,1,1.2,3.5,2.3,19
85,Tobias Harris,PF,29,PHI,6,6,40.8,6.7,12.8,0.519,2.2,5,0.433,4.5,7.8,0.574,0.604,2.3,2.7,0.875,0.8,8.7,9.5,2.8,0.7,1.2,1.7,2.8,17.8
86,Jaxson Hayes,C,21,NOP,6,6,13.8,2.3,4.2,0.56,0,0.5,0,2.3,3.7,0.636,0.56,1.2,1.8,0.636,0.7,1.8,2.5,0.2,0,0.3,0.7,1.8,5.8
87,Juancho Hernangómez,PF,26,UTA,6,0,9.3,0.8,3,0.278,0.7,2,0.333,0.2,1,0.167,0.389,0,0,0,0.3,1.7,2,0.8,0.3,0,0.3,0.7,2.3
88,Willy Hernangómez,C,27,NOP,1,0,2,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,0,2,0,2,0,0,0,0,1,2
89,Tyler Herro,SG,22,MIA,5,0,28.4,5,12.8,0.391,1,5.6,0.179,4,7.2,0.556,0.43,1.8,2,0.9,0,3.8,3.8,3.2,1,0.6,2.4,2.2,12.8
90,Haywood Highsmith,SF,25,MIA,2,0,4,0.5,0.5,1,0.5,0.5,1,0,0,0,1.5,0,0,0,0,0.5,0.5,0.5,0,0,1,0,1.5
91,Aaron Holiday,PG,25,PHO,2,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0.5,0,0.5,0,0.5,2,0,0,0,0,5
92,Jrue Holiday,PG,31,MIL,5,5,36,6.6,16.2,0.407,2,5.8,0.345,4.6,10.4,0.442,0.469,1.2,2,0.6,0.8,4.2,5,6.8,0.8,0.4,4,2,16.4
93,Al Horford,C,35,BOS,4,4,32,5,8.5,0.588,2.3,3.8,0.6,2.8,4.8,0.579,0.721,0.8,1,0.75,2.5,5,7.5,2,0.8,0.8,0.8,4,13
94,Danuel House Jr.,SF,28,UTA,6,0,18.7,1.5,3.7,0.409,0.3,1.7,0.2,1.2,2,0.583,0.455,1,1.3,0.75,0.3,2.5,2.8,0.7,0,0.2,1,1.2,4.3
95,Kevin Huerter,SG,23,ATL,5,5,30.8,3.4,9.4,0.362,1.8,6.2,0.29,1.6,3.2,0.5,0.457,0.6,0.8,0.75,0.2,2.8,3,3.8,1.2,0.6,2.2,3,9.2
96,De'Andre Hunter,SF,24,ATL,5,5,35,7.8,14,0.557,2.4,5.2,0.462,5.4,8.8,0.614,0.643,3.2,4,0.8,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4,21.2
97,Bones Hyland,PG,21,DEN,5,0,17.4,2.6,7.2,0.361,1.6,4.6,0.348,1,2.6,0.385,0.472,2.4,2.8,0.857,0.2,1.8,2,3.2,0.2,0,1.2,2.4,9.2
98,Serge Ibaka,PF,32,MIL,4,0,4.8,1,3.3,0.308,0,0.5,0,1,2.8,0.364,0.308,0.3,0.5,0.5,0.5,2,2.5,0,0,0,0.5,0.3,2.3
99,Andre Iguodala,SF,38,GSW,3,0,14,0.3,1.7,0.2,0,0.7,0,0.3,1,0.333,0.2,0.7,1,0.667,1,1.3,2.3,2.3,0,0.7,1,2.7,1.3
100,Brandon Ingram,SF,24,NOP,6,6,39.3,9.3,19.7,0.475,1.8,4.5,0.407,7.5,15.2,0.495,0.521,6.5,7.8,0.83,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27
101,Kyrie Irving,PG,29,BRK,4,4,42.5,7,15.8,0.444,2,5.3,0.381,5,10.5,0.476,0.508,5.3,5.3,1,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3
